rank,title,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
2440,blazing angels: squadrons of wwii,Wii,2007.0,Simulation,ubisoft,0.74,0.04,0.0,0.06,0.85
2441,castlevania iii: dracula's curse,NES,1989.0,Platform,konami digital entertainment,0.4,0.07,0.37,0.01,0.85
2442,harry potter and the order of the phoenix,DS,2007.0,Action,electronic arts,0.28,0.47,0.0,0.1,0.85
2443,rampage world tour,PS,1997.0,Action,gt interactive,0.47,0.32,0.0,0.06,0.85
2444,burnout legends,PSP,2005.0,Racing,electronic arts,0.7,0.06,0.0,0.09,0.85
2445,wwe 2k15,PS3,2014.0,Sports,take-two interactive,0.36,0.35,0.0,0.14,0.85
2446,overwatch,XOne,2016.0,Shooter,activision,0.52,0.25,0.0,0.08,0.85
2447,ratatouille,PS2,2007.0,Action,thq,0.31,0.0,0.0,0.53,0.85
2448,nfl gameday,PS,1995.0,Sports,sony computer entertainment,0.47,0.32,0.0,0.06,0.85
2449,burnout 2: point of impact,PS2,2002.0,Racing,acclaim entertainment,0.42,0.32,0.0,0.11,0.85
2450,kirby: planet robobot,3DS,2016.0,Action,nintendo,0.26,0.1,0.44,0.04,0.85
2451,street fighter ex3,PS2,2000.0,Fighting,virgin interactive,0.32,0.25,0.2,0.08,0.85
2452,karaoke revolution glee,Wii,2010.0,Misc,konami digital entertainment,0.52,0.25,0.0,0.07,0.85
2453,sniper elite v2,X360,2012.0,Shooter,505 games,0.46,0.29,0.02,0.07,0.85
2454,thief (2014),PS4,2014.0,Action,square enix,0.28,0.37,0.03,0.16,0.84
2455,spider-man 2,GC,2004.0,Action,activision,0.65,0.17,0.0,0.02,0.84
2456,golden sun: dark dawn,DS,2010.0,Role-Playing,nintendo,0.56,0.11,0.13,0.05,0.84
2457,tiger woods pga tour 11,PS3,2010.0,Sports,electronic arts,0.37,0.34,0.0,0.13,0.84
2458,devil may cry hd collection,PS3,2012.0,Action,capcom,0.42,0.21,0.11,0.1,0.84
2459,mlb 16: the show,PS4,2016.0,Action,sony computer entertainment,0.68,0.0,0.0,0.16,0.84
2460,nba 2k10,PS3,2009.0,Sports,take-two interactive,0.75,0.01,0.01,0.07,0.84
2461,xenoblade chronicles x,WiiU,2015.0,Role-Playing,nintendo,0.36,0.28,0.14,0.06,0.84
2462,petz dogz fashion,DS,2008.0,Simulation,ubisoft,0.46,0.3,0.0,0.09,0.84
2463,the incredibles,GC,2004.0,Action,thq,0.65,0.17,0.0,0.02,0.84
2464,ncaa football 11,PS3,2010.0,Sports,electronic arts,0.79,0.0,0.0,0.06,0.84
2465,dragon age ii,PS3,2011.0,Action,electronic arts,0.4,0.27,0.05,0.12,0.84
2466,atv quad power racing 2,PS2,2003.0,Racing,acclaim entertainment,0.41,0.32,0.0,0.11,0.84
2467,harvest moon: tree of tranquility,Wii,2007.0,Simulation,rising star games,0.69,0.03,0.06,0.06,0.84
2468,final fantasy,NES,1987.0,Role-Playing,squaresoft,0.32,0.0,0.52,0.0,0.84
2469,street fighter x tekken,PS3,2012.0,Fighting,capcom,0.42,0.22,0.1,0.1,0.84
2470,rocket power: team rocket rescue,PS,2001.0,Sports,thq,0.47,0.32,0.0,0.05,0.84
2471,duke nukem forever,X360,2011.0,Shooter,take-two interactive,0.52,0.25,0.0,0.07,0.84
2472,big mutha truckers,PS2,2002.0,Racing,empire interactive,0.41,0.32,0.0,0.11,0.84
2473,borderlands: the handsome collection,PS4,2015.0,Shooter,take-two interactive,0.36,0.32,0.03,0.14,0.84
2474,rogue galaxy,PS2,2005.0,Role-Playing,sony computer entertainment,0.24,0.16,0.39,0.05,0.84
2475,espn college hoops 2k5,PS2,2004.0,Sports,sega,0.41,0.32,0.0,0.11,0.84
2476,metroid: zero mission,GBA,2004.0,Adventure,nintendo,0.6,0.22,0.0,0.01,0.84
2477,fifa 15,PSV,2014.0,Sports,electronic arts,0.13,0.48,0.04,0.19,0.84
2478,time crisis 4,PS3,2007.0,Shooter,namco bandai games,0.32,0.33,0.05,0.14,0.84
2479,ben 10: protector of earth,PS2,2007.0,Action,d3publisher,0.09,0.0,0.0,0.74,0.84
2480,need for speed rivals,X360,2013.0,Racing,electronic arts,0.37,0.38,0.01,0.08,0.84
2481,q*bert,PS,1999.0,Puzzle,atari,0.46,0.32,0.0,0.05,0.84
2482,wwe smackdown vs. raw 2009,Wii,2008.0,Fighting,thq,0.44,0.31,0.0,0.08,0.83
2483,ace combat 3: electrosphere,PS,1999.0,Simulation,sony computer entertainment,0.22,0.15,0.4,0.05,0.83
2484,dynasty warriors 2,PS2,2000.0,Action,thq,0.24,0.19,0.34,0.06,0.83
2485,battle of giants: dinosaurs,DS,2008.0,Strategy,ubisoft,0.38,0.37,0.0,0.09,0.83
2486,madden nfl 07,PSP,2007.0,Sports,unknown,0.77,0.03,0.0,0.04,0.83
2487,lizzie mcguire 2: lizzie diaries,GBA,2004.0,Action,disney interactive studios,0.6,0.22,0.0,0.01,0.83
2488,borderlands 2,PSV,2014.0,Shooter,take-two interactive,0.43,0.21,0.01,0.19,0.83
2489,fifa soccer world championship,PS2,2000.0,Sports,electronic arts,0.27,0.21,0.28,0.07,0.83
2490,brute force,XB,2003.0,Shooter,microsoft game studios,0.62,0.18,0.01,0.03,0.83
2491,dance central 3,X360,2012.0,Misc,microsoft game studios,0.57,0.2,0.0,0.06,0.83
2492,yu-gi-oh! dark duel stories,GB,2000.0,Misc,konami digital entertainment,0.0,0.0,0.83,0.0,0.83
2493,the game of life,PS,1998.0,Misc,unknown,0.46,0.31,0.0,0.05,0.83
2494,mega man legends,PS,1997.0,Adventure,capcom,0.39,0.26,0.12,0.05,0.83
2495,ncaa football 12,PS3,2011.0,Sports,electronic arts,0.78,0.0,0.0,0.05,0.83
2496,sly 3: honor among thieves,PS2,2005.0,Platform,sony computer entertainment,0.69,0.03,0.0,0.11,0.83
2497,the price is right,Wii,2008.0,Misc,ubisoft,0.77,0.0,0.0,0.06,0.83
2498,sid meier's civilization revolution,X360,2008.0,Strategy,take-two interactive,0.58,0.17,0.0,0.07,0.83
2499,mlb slugfest 20-03,PS2,2007.0,Sports,unknown,0.41,0.32,0.0,0.11,0.83
2500,i spy: fun house,DS,2007.0,Puzzle,scholastic inc.,0.77,0.0,0.0,0.06,0.83
2501,the amazing spider-man (console version),PS3,2012.0,Action,activision,0.31,0.37,0.0,0.14,0.83
2502,dragon ball: raging blast 2,PS3,2010.0,Fighting,namco bandai games,0.42,0.2,0.11,0.09,0.83
2503,medievil,PS,1998.0,Platform,sony computer entertainment,0.46,0.31,0.0,0.05,0.83
2504,casper,PS,1996.0,Adventure,interplay,0.46,0.31,0.0,0.05,0.83
2505,deca sports 2,Wii,2009.0,Sports,hudson soft,0.33,0.34,0.09,0.07,0.82
2506,james bond 007: nightfire,XB,2002.0,Shooter,electronic arts,0.58,0.22,0.0,0.03,0.82
2507,madden nfl 17,XOne,2016.0,Sports,electronic arts,0.72,0.02,0.0,0.09,0.82
2508,tony hawk's underground 2 remix,PSP,2005.0,Sports,activision,0.46,0.21,0.0,0.15,0.82
2509,tony hawk's pro skater 3,GC,2001.0,Sports,activision,0.64,0.17,0.0,0.02,0.82
2510,marvel: ultimate alliance,PS2,2006.0,Role-Playing,activision,0.69,0.03,0.0,0.11,0.82
2511,star wars the clone wars: republic heroes,Wii,2009.0,Action,lucasarts,0.44,0.3,0.0,0.08,0.82
2512,dj hero 2,X360,2010.0,Misc,activision,0.64,0.12,0.0,0.06,0.82
2513,street fighter v,PS4,2016.0,Fighting,capcom,0.35,0.26,0.08,0.13,0.82
2514,need for speed: hot pursuit 2,XB,2002.0,Racing,electronic arts,0.68,0.11,0.0,0.03,0.82
2515,clu clu land,NES,1984.0,Puzzle,nintendo,0.42,0.1,0.28,0.02,0.82
2516,killer instinct gold,N64,1996.0,Fighting,nintendo,0.61,0.19,0.0,0.01,0.82
2517,amped: freestyle snowboarding,XB,2001.0,Sports,microsoft game studios,0.69,0.11,0.0,0.02,0.82
2518,custer's revenge,2600,1981.0,Action,mystique,0.76,0.05,0.0,0.01,0.82
2519,medievil: resurrection,PSP,2005.0,Adventure,sony computer entertainment,0.19,0.41,0.0,0.22,0.82
2520,dmc: devil may cry,PS3,2013.0,Action,capcom,0.24,0.28,0.19,0.12,0.82
2521,tales of the abyss,3DS,2011.0,Role-Playing,namco bandai games,0.42,0.19,0.14,0.06,0.82
2522,rocket power: beach bandits,PS2,2002.0,Platform,thq,0.4,0.31,0.0,0.1,0.82
2523,guitar hero: warriors of rock,PS3,2010.0,Misc,activision,0.33,0.35,0.0,0.14,0.82
2524,hasbro family game night 3,Wii,2010.0,Misc,electronic arts,0.47,0.28,0.0,0.07,0.82
2525,madden nfl 16,PS3,2015.0,Sports,electronic arts,0.56,0.11,0.0,0.15,0.82
2526,stranglehold,X360,2007.0,Shooter,midway games,0.4,0.33,0.01,0.09,0.82
2527,imagine: rock star,DS,2008.0,Simulation,ubisoft,0.4,0.33,0.0,0.09,0.82
2528,shin megami tensei: persona 4,PS2,2008.0,Role-Playing,atlus,0.34,0.04,0.36,0.08,0.82
2529,singstar vol. 2,PS3,2008.0,Misc,sony computer entertainment,0.29,0.4,0.0,0.13,0.82
2530,shaun white snowboarding,X360,2007.0,Sports,ubisoft,0.48,0.26,0.0,0.08,0.82
2531,madden nfl 25,PS4,2013.0,Sports,electronic arts,0.62,0.13,0.0,0.07,0.82
2532,twisted metal (2012),PS3,2012.0,Action,sony computer entertainment,0.67,0.07,0.0,0.07,0.82
2533,dragon warrior iii,GB,2000.0,Role-Playing,enix corporation,0.0,0.0,0.81,0.0,0.81
2534,disney's the little mermaid: ariel's undersea adventure,DS,2006.0,Action,disney interactive studios,0.73,0.03,0.0,0.06,0.81
2535,ready 2 rumble boxing: round 2,PS2,2000.0,Fighting,midway games,0.4,0.31,0.0,0.1,0.81
2536,kamaitachi no yoru,SNES,1994.0,Adventure,chunsoft,0.0,0.0,0.81,0.0,0.81
2537,patapon,PSP,2007.0,Misc,sony computer entertainment,0.33,0.25,0.07,0.17,0.81
2538,tales of destiny ii,PS,2000.0,Role-Playing,namco bandai games,0.06,0.04,0.66,0.05,0.81
2539,super bomberman 2,SNES,1994.0,Puzzle,hudson soft,0.0,0.0,0.81,0.0,0.81
2540,nascar 2001,PS,2000.0,Racing,electronic arts,0.45,0.31,0.0,0.05,0.81
2541,ea sports active nfl training camp,Wii,2010.0,Sports,electronic arts,0.77,0.0,0.0,0.05,0.81
2542,the legend of zelda: four swords adventures,GC,2004.0,Action,nintendo,0.63,0.16,0.0,0.02,0.81
2543,jikkyou powerful pro yakyuu '99 kaimakuban,PS,1999.0,Sports,konami digital entertainment,0.0,0.0,0.76,0.05,0.81
2544,guitar hero live,PS4,2015.0,Misc,activision,0.32,0.35,0.0,0.13,0.81
2545,valkyrie profile,PS,1999.0,Role-Playing,enix corporation,0.07,0.05,0.63,0.05,0.81
2546,final fantasy type-0,PSP,2011.0,Role-Playing,unknown,0.0,0.0,0.81,0.0,0.81
2547,pro evolution soccer 2010,X360,2009.0,Sports,konami digital entertainment,0.12,0.58,0.03,0.08,0.81
2548,army men: sarge's heroes,N64,1999.0,Action,3do,0.68,0.12,0.0,0.01,0.81
2549,mega man,NES,1987.0,Platform,capcom,0.45,0.08,0.27,0.01,0.81
2550,tom clancy's rainbow six 3,PS2,2004.0,Shooter,ubisoft,0.4,0.31,0.0,0.1,0.81
2551,lego batman 3: beyond gotham,PS3,2014.0,Action,warner bros. interactive entertainment,0.33,0.35,0.0,0.13,0.81
2552,earthbound,SNES,1994.0,Role-Playing,nintendo,0.0,0.0,0.81,0.0,0.81
2553,dirt 2,X360,2009.0,Racing,codemasters,0.32,0.4,0.0,0.09,0.81
2554,professor layton vs phoenix wright: ace attorney,3DS,2012.0,Puzzle,level 5,0.2,0.26,0.3,0.04,0.81
2555,the next tetris,PS,1998.0,Puzzle,atari,0.45,0.31,0.0,0.05,0.81
2556,dying light,XOne,2015.0,Action,warner bros. interactive entertainment,0.43,0.3,0.01,0.07,0.81
2557,ncaa football 10,PS3,2009.0,Sports,electronic arts,0.75,0.0,0.0,0.06,0.81
2558,ben 10: alien force,Wii,2008.0,Action,koch media,0.52,0.21,0.0,0.07,0.81
2559,world soccer jikkyou winning eleven 3: world cup france '98,PS,1998.0,Sports,konami digital entertainment,0.0,0.0,0.75,0.05,0.81
2560,final fantasy xi: wings of the goddess,PS2,2007.0,Role-Playing,square enix,0.35,0.27,0.09,0.09,0.81
2561,the sims 2,PS2,2005.0,Simulation,electronic arts,0.67,0.03,0.0,0.11,0.81
2562,guitar hero: metallica,X360,2009.0,Misc,activision,0.52,0.21,0.0,0.07,0.81
2563,ncaa football 14,PS3,2013.0,Sports,electronic arts,0.75,0.0,0.0,0.06,0.8
2564,madworld,Wii,2009.0,Action,sega,0.46,0.25,0.02,0.07,0.8
2565,fight night champion,X360,2011.0,Fighting,electronic arts,0.4,0.33,0.0,0.07,0.8
2566,who wants to be a millionaire,PS,2000.0,Misc,eidos interactive,0.45,0.3,0.0,0.05,0.8
2567,yakuza,PS2,2005.0,Action,sega,0.03,0.02,0.74,0.01,0.8
2568,star wars rogue squadron iii: rebel strike,GC,2003.0,Simulation,lucasarts,0.62,0.16,0.0,0.02,0.8
2569,abba: you can dance,Wii,2011.0,Misc,ubisoft,0.19,0.5,0.0,0.11,0.8
2570,moto racer,PS,1997.0,Racing,electronic arts,0.45,0.3,0.0,0.05,0.8
2571,hitman: contracts,PS2,2004.0,Shooter,eidos interactive,0.39,0.31,0.0,0.1,0.8
2572,the sims 2: pets,PSP,2006.0,Simulation,electronic arts,0.19,0.39,0.0,0.22,0.8
2573,final fantasy anthology,PS,1999.0,Role-Playing,square ea,0.45,0.3,0.0,0.05,0.8
2574,aliens: colonial marines,X360,2013.0,Shooter,sega,0.36,0.37,0.0,0.07,0.8
2575,pro evolution soccer 2010,PSP,2009.0,Sports,konami digital entertainment,0.09,0.33,0.2,0.18,0.8
2576,[prototype 2],X360,2012.0,Action,activision,0.48,0.25,0.0,0.07,0.8
2577,sonic & sega all-stars racing with banjo-kazooie,X360,2010.0,Racing,sega,0.37,0.35,0.0,0.07,0.8
2578,goldeneye 007: reloaded,PS3,2011.0,Shooter,activision,0.33,0.35,0.0,0.13,0.8
2579,nba 2k16,PS3,2015.0,Sports,take-two interactive,0.44,0.19,0.03,0.13,0.8
2580,all star cheer squad,Wii,2008.0,Sports,thq,0.43,0.29,0.0,0.08,0.8
2581,the sims 2: castaway,PSP,2007.0,Simulation,electronic arts,0.08,0.46,0.0,0.25,0.8
2582,prince of persia: warrior within,XB,2004.0,Action,ubisoft,0.48,0.28,0.0,0.04,0.8
2583,dragon's dogma,X360,2012.0,Role-Playing,capcom,0.42,0.24,0.07,0.06,0.8
2584,darksiders ii,X360,2012.0,Action,thq,0.45,0.28,0.0,0.07,0.8
2585,resident evil: revelations,PS3,2013.0,Action,capcom,0.14,0.32,0.22,0.12,0.8
2586,rayman raving rabbids 2,DS,2007.0,Misc,ubisoft,0.73,0.01,0.0,0.06,0.8
2587,super robot taisen α,PS,2000.0,Strategy,banpresto,0.0,0.0,0.75,0.05,0.8
2588,pes 2009: pro evolution soccer,PSP,2007.0,Sports,konami digital entertainment,0.04,0.33,0.26,0.17,0.8
2589,need for speed: hot pursuit 2,GC,2002.0,Racing,electronic arts,0.68,0.09,0.0,0.02,0.8
2590,star wars: the force unleashed ii,Wii,2010.0,Action,lucasarts,0.54,0.19,0.0,0.06,0.8
2591,band hero,X360,2009.0,Misc,activision,0.51,0.22,0.0,0.07,0.8
2592,mario & sonic at the sochi 2014 olympic winter games,WiiU,2013.0,Sports,nintendo,0.39,0.22,0.13,0.06,0.8
2593,tales of destiny 2,PS2,2002.0,Role-Playing,namco bandai games,0.0,0.0,0.8,0.0,0.8
2594,capcom's soccer shootout,SNES,1993.0,Sports,nintendo,0.0,0.0,0.8,0.0,0.8
2595,sniper: ghost warrior,PS3,2011.0,Shooter,city interactive,0.26,0.36,0.04,0.14,0.8
2596,the godfather ii,X360,2009.0,Action,electronic arts,0.47,0.24,0.01,0.08,0.79
2597,pro evolution soccer 2011,PSP,2010.0,Sports,konami digital entertainment,0.05,0.3,0.29,0.16,0.79
2598,alien,2600,1981.0,Action,20th century fox video games,0.74,0.04,0.0,0.01,0.79
2599,dragon ball z: budokai tenkaichi 2,PS2,2006.0,Fighting,atari,0.66,0.02,0.0,0.11,0.79
2600,the walking dead: season one,PS3,2012.0,Adventure,avanquest software,0.4,0.25,0.03,0.11,0.79
2601,rayman origins,X360,2011.0,Platform,ubisoft,0.38,0.34,0.0,0.08,0.79
2602,guitar hero: aerosmith,PS2,2008.0,Misc,activision,0.61,0.0,0.0,0.18,0.79
2603,ridge racer,PS,1994.0,Racing,sony computer entertainment,0.0,0.0,0.74,0.05,0.79
2604,final fantasy tactics a2: grimoire of the rift,DS,2007.0,Role-Playing,square enix,0.42,0.03,0.3,0.04,0.79
2605,harvest moon: a wonderful life,GC,2003.0,Role-Playing,ubisoft,0.61,0.16,0.0,0.02,0.79
2606,momotarou dentetsu 7,PS,1997.0,Simulation,hudson entertainment,0.0,0.0,0.74,0.05,0.79
2607,invizimals,PSP,2009.0,Strategy,sony computer entertainment,0.17,0.51,0.0,0.11,0.79
2608,motocross mania,PS,2001.0,Racing,take-two interactive,0.44,0.3,0.0,0.05,0.79
2609,tiger woods pga tour 10,PS3,2009.0,Sports,electronic arts,0.42,0.25,0.0,0.12,0.79
2610,star wars the clone wars: jedi alliance,DS,2008.0,Action,lucasarts,0.62,0.11,0.0,0.07,0.79
2611,wcw mayhem,N64,1999.0,Fighting,electronic arts,0.63,0.15,0.0,0.01,0.79
2612,mega man 5,NES,1992.0,Platform,capcom,0.39,0.07,0.32,0.01,0.79
2613,star ocean: the last hope,X360,2009.0,Role-Playing,square enix,0.32,0.2,0.21,0.06,0.79
2614,dance dance revolution supernova 2,PS2,2007.0,Simulation,konami digital entertainment,0.64,0.03,0.02,0.1,0.79
2615,armored core 2,PS2,2000.0,Simulation,ubisoft,0.28,0.22,0.23,0.07,0.79
2616,dragon quest monsters 2,3DS,2014.0,Role-Playing,square enix,0.0,0.0,0.79,0.0,0.79
2617,ghost squad,Wii,2007.0,Shooter,sega,0.42,0.21,0.08,0.07,0.79
2618,dead island: riptide,X360,2013.0,Action,deep silver,0.44,0.27,0.01,0.07,0.79
2619,drawn to life,DS,2007.0,Action,thq,0.71,0.02,0.0,0.06,0.79
2620,major league baseball featuring ken griffey jr,N64,1998.0,Sports,nintendo,0.75,0.03,0.0,0.01,0.79
2621,fifa 12,Wii,2011.0,Sports,electronic arts,0.16,0.52,0.0,0.11,0.79
2622,too human,X360,2008.0,Role-Playing,microsoft game studios,0.38,0.3,0.03,0.08,0.79
2623,sid meier's civilization revolution,PS3,2008.0,Strategy,take-two interactive,0.49,0.19,0.01,0.1,0.79
2624,ncaa football 08,PS2,2007.0,Sports,electronic arts,0.65,0.03,0.0,0.11,0.79
2625,fifa soccer 2004,XB,2003.0,Sports,electronic arts,0.24,0.49,0.0,0.05,0.79
2626,personal trainer: walking,DS,2008.0,Sports,nintendo,0.22,0.32,0.17,0.07,0.79
2627,naruto shippuden: ultimate ninja storm 2,X360,2010.0,Fighting,namco bandai games,0.43,0.27,0.01,0.07,0.79
2628,pokepark 2: wonders beyond,Wii,2011.0,Action,nintendo,0.27,0.2,0.27,0.05,0.79
2629,professor layton and the azran legacy,3DS,2013.0,Puzzle,nintendo,0.0,0.48,0.25,0.06,0.78
2630,tom clancy's splinter cell: double agent,X360,2006.0,Action,ubisoft,0.67,0.05,0.01,0.06,0.78
2631,yars' revenge,2600,1982.0,Shooter,atari,0.73,0.04,0.0,0.01,0.78
2632,lips,X360,2008.0,Misc,microsoft game studios,0.12,0.56,0.0,0.1,0.78
2633,secret agent barbie: royal jewels mission,GBA,2002.0,Platform,vivendi games,0.56,0.21,0.0,0.01,0.78
2634,metroid prime hunters,DS,2006.0,Shooter,nintendo,0.58,0.04,0.11,0.06,0.78
2635,the 7th guest,PC,1992.0,Adventure,virgin interactive,0.01,0.77,0.0,0.0,0.78
2636,doom,PS,1994.0,Shooter,infogrames,0.43,0.3,0.0,0.05,0.78
2637,buzz! the hollywood quiz,PS2,2007.0,Misc,sony computer entertainment,0.17,0.0,0.0,0.61,0.78
2638,puzzler world,DS,2009.0,Puzzle,ubisoft,0.41,0.3,0.0,0.07,0.78
2639,my little pony: pinkie pie's party,DS,2008.0,Adventure,thq,0.72,0.0,0.0,0.06,0.78
2640,we sing,Wii,2009.0,Misc,nordic games,0.0,0.69,0.0,0.09,0.78
2641,marvel vs. capcom: clash of super heroes,PS,1999.0,Fighting,capcom,0.43,0.3,0.0,0.05,0.78
2642,god of war saga,PS3,2012.0,Action,sony computer entertainment,0.72,0.0,0.0,0.06,0.78
2643,battle stations,PS,1997.0,Strategy,electronic arts,0.43,0.29,0.0,0.05,0.78
2644,tetris party deluxe,DS,2010.0,Puzzle,nintendo,0.29,0.3,0.12,0.07,0.78
2645,pro evolution soccer 2016,PS4,2015.0,Sports,konami digital entertainment,0.13,0.42,0.13,0.1,0.78
2646,worms: open warfare,PSP,2006.0,Strategy,thq,0.11,0.43,0.0,0.24,0.78
2647,star wars battlefront: elite squadron,PSP,2009.0,Shooter,lucasarts,0.38,0.24,0.0,0.16,0.78
2648,ufc personal trainer: the ultimate fitness system,X360,2011.0,Sports,thq,0.53,0.19,0.0,0.06,0.78
2649,resident evil: operation raccoon city,X360,2012.0,Action,capcom,0.55,0.15,0.03,0.06,0.78
2650,nba 2k7,PS2,2006.0,Sports,take-two interactive,0.65,0.02,0.0,0.11,0.78
2651,need for speed: prostreet,PSP,2008.0,Racing,electronic arts,0.24,0.33,0.01,0.2,0.78
2652,toy story 3: the video game,X360,2010.0,Action,disney interactive studios,0.41,0.29,0.0,0.07,0.78
2653,torneko no daibouken: fushigi no dungeon,SNES,1993.0,Role-Playing,chunsoft,0.0,0.0,0.78,0.0,0.78
2654,jr. pac-man,2600,1983.0,Puzzle,atari,0.72,0.05,0.0,0.01,0.78
2655,james bond 007: nightfire,GC,2002.0,Shooter,electronic arts,0.6,0.16,0.0,0.02,0.78
2656,banjo-kazooie: nuts & bolts,X360,2008.0,Platform,microsoft game studios,0.32,0.36,0.0,0.09,0.78
2657,nba shootout 98,PS,1998.0,Sports,sony computer entertainment,0.43,0.29,0.0,0.05,0.78
2658,avatar: the game,X360,2009.0,Action,ubisoft,0.34,0.35,0.0,0.08,0.78
2659,harry potter and the half-blood prince,Wii,2009.0,Action,electronic arts,0.28,0.4,0.0,0.09,0.77
2660,dj hero,Wii,2009.0,Misc,activision,0.47,0.23,0.0,0.07,0.77
2661,perfect dark zero,X360,2005.0,Shooter,microsoft game studios,0.66,0.02,0.03,0.06,0.77
2662,galaxian,2600,1982.0,Shooter,atari,0.72,0.05,0.0,0.01,0.77
2663,andretti racing,PS,1996.0,Racing,electronic arts,0.43,0.29,0.0,0.05,0.77
2664,caesars palace 2000: millennium gold edition,PS,2000.0,Misc,interplay,0.43,0.29,0.0,0.05,0.77
2665,madden nfl 25,XOne,2013.0,Sports,electronic arts,0.67,0.05,0.0,0.05,0.77
2666,air raid,2600,1981.0,Action,men-a-vision,0.72,0.04,0.0,0.01,0.77
2667,need for speed: undercover,PSP,2008.0,Racing,electronic arts,0.23,0.32,0.03,0.19,0.77
2668,duke nukem forever,PS3,2011.0,Shooter,take-two interactive,0.33,0.31,0.0,0.12,0.77
2669,freedom wars,PSV,2014.0,Role-Playing,sony computer entertainment,0.22,0.14,0.32,0.1,0.77
2670,marvel nemesis: rise of the imperfects,PS2,2005.0,Fighting,electronic arts,0.64,0.02,0.0,0.1,0.77
2671,boxing,2600,1980.0,Fighting,activision,0.72,0.04,0.0,0.01,0.77
2672,need for speed: porsche unleashed,PS,1999.0,Racing,electronic arts,0.43,0.29,0.0,0.05,0.77
2673,dragon ball: raging blast,PS3,2009.0,Fighting,namco bandai games,0.37,0.19,0.11,0.1,0.77
2674,crystal castles,2600,1983.0,Action,atari,0.72,0.04,0.0,0.01,0.77
2675,conker's bad fur day,N64,2001.0,Platform,thq,0.53,0.22,0.0,0.02,0.77
2676,dragon warrior i&ii,GB,1999.0,Role-Playing,enix corporation,0.0,0.0,0.77,0.0,0.77
2677,star wars episode ii: attack of the clones,GBA,2002.0,Action,thq,0.55,0.2,0.0,0.01,0.77
2678,my baby girl,DS,2008.0,Simulation,nobilis,0.61,0.1,0.0,0.06,0.77
2679,lego batman 2: dc super heroes,DS,2012.0,Action,warner bros. interactive entertainment,0.43,0.27,0.0,0.06,0.77
2680,twisted metal: head on,PSP,2005.0,Action,sony computer entertainment,0.71,0.0,0.0,0.06,0.77
2681,conflict: desert storm ii - back to bagdhad,PS2,2003.0,Shooter,sci,0.38,0.29,0.0,0.1,0.77
2682,maximo: ghosts to glory,PS2,2001.0,Platform,capcom,0.38,0.29,0.0,0.1,0.77
2683,pokemon dash,DS,2004.0,Racing,nintendo,0.21,0.14,0.38,0.04,0.77
2684,donkey kong country 3,GBA,2005.0,Platform,nintendo,0.45,0.17,0.14,0.01,0.77
2685,all-star baseball 2003,PS2,2002.0,Sports,acclaim entertainment,0.38,0.29,0.0,0.1,0.77
2686,unlimited saga,PS2,2002.0,Role-Playing,atari,0.1,0.08,0.56,0.03,0.77
2687,cabela's deer hunt: 2004 season,PS2,2003.0,Sports,activision value,0.37,0.29,0.0,0.1,0.76
2688,sonic unleashed,PS2,2008.0,Platform,sega,0.37,0.04,0.0,0.36,0.76
2689,formula 1,PS,1996.0,Racing,psygnosis,0.18,0.12,0.42,0.05,0.76
2690,plants vs. zombies: garden warfare,PS3,2014.0,Shooter,electronic arts,0.22,0.4,0.01,0.14,0.76
2691,raving rabbids: travel in time,Wii,2010.0,Adventure,ubisoft,0.22,0.47,0.0,0.08,0.76
2692,the sims 3,3DS,2011.0,Simulation,electronic arts,0.3,0.37,0.03,0.07,0.76
2693,driv3r,XB,2004.0,Racing,atari,0.36,0.38,0.0,0.03,0.76
2694,mercenaries: playground of destruction,PS2,2005.0,Action,lucasarts,0.64,0.02,0.0,0.1,0.76
2695,mtv celebrity deathmatch,PS2,2003.0,Fighting,gotham games,0.37,0.29,0.0,0.1,0.76
2696,street fighter alpha: warriors' dreams,PS,1995.0,Fighting,virgin interactive,0.17,0.11,0.43,0.05,0.76
2697,mortal kombat,PSV,2012.0,Fighting,warner bros. interactive entertainment,0.47,0.18,0.0,0.12,0.76
2698,iss pro evolution,PS,1998.0,Sports,konami digital entertainment,0.0,0.0,0.71,0.05,0.76
2699,lost planet 2,X360,2010.0,Shooter,capcom,0.38,0.24,0.08,0.06,0.76
2700,soulcalibur v,PS3,2012.0,Fighting,namco bandai games,0.35,0.24,0.07,0.1,0.76
2701,portal 2,PC,2011.0,Shooter,valve software,0.33,0.32,0.0,0.11,0.76
2702,super monkey ball: touch & roll,DS,2005.0,Misc,sega,0.7,0.01,0.0,0.06,0.76
2703,pro evolution soccer 2015,PS4,2014.0,Sports,konami digital entertainment,0.09,0.43,0.11,0.13,0.76
2704,drawn to life: the next chapter,Wii,2009.0,Puzzle,thq,0.29,0.39,0.0,0.08,0.76
2705,the lord of the rings: conquest,PS3,2009.0,Action,electronic arts,0.38,0.26,0.0,0.12,0.76
2706,final fantasy ii,NES,1988.0,Role-Playing,squaresoft,0.0,0.0,0.76,0.0,0.76
2707,tony hawk's pro skater 2,N64,2001.0,Sports,activision,0.59,0.16,0.0,0.01,0.76
2708,taiko no tatsujin: tatakon de dodon ga don,PS2,2002.0,Misc,namco bandai games,0.0,0.0,0.76,0.0,0.76
